element_type,osmid,amenity,name,geometry
node,3124503915,atm,BAWAG PSK,POINT (16.37649 48.185535)
node,3124503919,bank,Bank Austria,POINT (16.3765063 48.18407)
node,3168707209,fast_food,Cafe Memo,POINT (16.3669804 48.174658)
node,3168712561,restaurant,Sedir,POINT (16.3671022 48.1755185)
node,3170280100,restaurant,Sweet Vienna,POINT (16.3677966 48.1752461)
node,3217609296,restaurant,Goldene Rose,POINT (16.3763452 48.1720674)
node,3218002479,fast_food,Citychicken,POINT (16.3777192 48.1748055)
node,3218002484,recycling,,POINT (16.3721706 48.1672566)
node,3245308172,parking,,POINT (16.3761013 48.1836581)
node,3256085961,townhall,"Magistratisches Bezirksamt, 10.Bezirk (1100 Wien)",POINT (16.3740102 48.1787585)
node,3256086482,parking,,POINT (16.3814013 48.1793479)
node,3256087001,post_box,,POINT (16.3755529 48.1802303)
node,3257397686,restaurant,Hekaya - ‎حكاية,POINT (16.3785768 48.1749722)
node,3257556682,bench,,POINT (16.3800459 48.1779603)
node,3257556915,parking_entrance,,POINT (16.3804285 48.1798513)
node,3257556957,parking_entrance,,POINT (16.3807123 48.1801238)
node,3274501901,police,Polizeiinspektion Am Hauptbahnhof,POINT (16.3772906 48.1839423)
node,3280978728,atm,,POINT (16.3633508 48.1762365)
node,3296415382,bar,das Turm,POINT (16.3467967 48.1691032)
node,3307703758,brothel,Girlswien,POINT (16.3535965 48.173558)
node,3307706261,brothel,Kontaktzone,POINT (16.3772239 48.1805605)
node,3315019924,post_box,,POINT (16.362725 48.1738248)
node,3315336112,bicycle_parking,,POINT (16.3776848 48.1754464)
node,3324871764,veterinary,Tierarzt Gschwandner,POINT (16.3598387 48.1698274)
node,3324871800,telephone,,POINT (16.3606328 48.1707486)
node,3324871801,telephone,,POINT (16.3606187 48.1707509)
node,3325584809,recycling,,POINT (16.4143245 48.1336577)
node,3325584810,recycling,,POINT (16.4126884 48.133536)
node,3325584811,recycling,,POINT (16.4123853 48.1358396)
node,3325584819,recycling,,POINT (16.4176836 48.1324097)
node,3325584820,recycling,,POINT (16.4221123 48.1315207)
node,3325584821,recycling,,POINT (16.4229894 48.1315512)
node,3325584822,recycling,,POINT (16.4272438 48.1311266)
node,3325594174,recycling,,POINT (16.4080728 48.134708)
node,3325630285,recycling,,POINT (16.4025015 48.1361553)
node,3325630286,recycling,,POINT (16.4035651 48.1357034)
node,3325737314,toilets,,POINT (16.4048137 48.1387668)
node,3325737324,recycling,,POINT (16.4054927 48.1391578)
node,3325737325,recycling,,POINT (16.40605 48.1390664)
node,3325737326,recycling,,POINT (16.406242 48.139534)
node,3325737327,recycling,,POINT (16.4065278 48.1399379)
node,3325737328,recycling,,POINT (16.4054776 48.1401321)
node,3325737329,recycling,,POINT (16.405978 48.1385911)
node,3342156026,waste_basket,,POINT (16.3586674 48.1556295)
node,3345788806,bts,,POINT (16.3963718 48.1479464)
node,3395285646,post_box,,POINT (16.3721008 48.1751481)
node,3395285900,post_box,,POINT (16.3668356 48.1721717)
node,3395287812,vending_machine,,POINT (16.3677215 48.1743906)
node,3395287813,vending_machine,,POINT (16.3676584 48.1744264)
node,3395290062,vending_machine,,POINT (16.3668326 48.1721714)
node,3395290063,vending_machine,,POINT (16.3668209 48.1721732)
node,3398630497,place_of_worship,,POINT (16.3760576 48.1617269)
node,3400094462,cafe,Espresso One,POINT (16.3786148 48.175397)
node,3400094465,fast_food,Schnitzel-Fan,POINT (16.3786562 48.1756118)
node,3400094466,fast_food,Würstelbox,POINT (16.3780483 48.1752567)
node,3400094467,fast_food,Kebap X,POINT (16.3784582 48.1752282)
node,3401829393,doctors,Dr. Karin Tiedemann,POINT (16.3779428 48.1755043)
node,3409097705,vending_machine,,POINT (16.3656198 48.1754434)
node,3409097706,vending_machine,,POINT (16.3656221 48.1754552)
node,3409097707,vending_machine,,POINT (16.3656386 48.1754615)
node,3417101271,post_box,,POINT (16.3725831 48.1738642)
node,3428816541,fountain,Arthaberbrunnen,POINT (16.3712862 48.1728987)
node,3428816551,clock,,POINT (16.3713012 48.1728954)
node,3437766499,doctors,Diagnosezentrum Favoriten,POINT (16.3771011 48.1839854)
node,3443075846,shelter,,POINT (16.3737681 48.1822949)
node,3463194593,cafe,Der Mann,POINT (16.3772965 48.1752292)
node,3471482495,cafe,Kamun,POINT (16.376931 48.1737407)
node,3471640593,restaurant,Pauli's Kuchl,POINT (16.3650886 48.1665043)
node,3476007793,bicycle_parking,,POINT (16.3630528 48.1680668)
node,3488838980,bench,,POINT (16.3454907 48.1632054)
node,3490374093,restaurant,Restaurant Aamo,POINT (16.3935058 48.1398902)
node,3492401393,fountain,Papagenobrunnen,POINT (16.4048171 48.1464628)
node,3496011046,bench,,POINT (16.3779108 48.1719649)
node,3496011047,bench,,POINT (16.3776678 48.1719787)
node,3496011048,bench,,POINT (16.3778964 48.1719795)
node,3496011049,bench,,POINT (16.37786 48.171981)
node,3496011050,bench,,POINT (16.3778295 48.1719821)
node,3496011051,bench,,POINT (16.3777923 48.1719835)
node,3496011052,bench,,POINT (16.3777571 48.1719849)
node,3496011053,bench,,POINT (16.3777241 48.1719858)
node,3496011054,bench,,POINT (16.3776894 48.1719869)
node,3496036730,pub,,POINT (16.3817892 48.1705345)
node,3496086160,bench,,POINT (16.3895958 48.1558458)
node,3496086161,bench,,POINT (16.3895873 48.1559336)
node,3496086162,bench,,POINT (16.3889793 48.1563446)
node,3496086163,bench,,POINT (16.3889615 48.1563539)
node,3496086165,bench,,POINT (16.3904282 48.1566942)
node,3496086166,bench,,POINT (16.3904367 48.1567151)
node,3496086167,bench,,POINT (16.3899865 48.1571111)
node,3496086169,bench,,POINT (16.3871015 48.1574097)
node,3496086171,bench,,POINT (16.3878862 48.1577572)
node,3496086175,bench,,POINT (16.3875065 48.1580626)
node,3496086176,bench,,POINT (16.3874791 48.1580809)
node,3496086177,bench,,POINT (16.3879588 48.1581315)
node,3496813419,bench,,POINT (16.398265 48.160313)
node,3496813420,bench,,POINT (16.3977218 48.160384)
node,3496868387,bench,,POINT (16.3770764 48.1596342)
node,3496868390,bench,,POINT (16.3755209 48.1598153)
node,3496894344,bench,,POINT (16.3745229 48.1485399)
node,3496894355,bench,,POINT (16.3736838 48.1494408)
node,3500585476,bank,,POINT (16.3686506 48.1662514)
node,3506064022,drinking_water,,POINT (16.39228 48.1400823)
node,3506671928,toilets,,POINT (16.3788222 48.1743256)
node,3507543195,cafe,Zakay,POINT (16.3785398 48.1748314)
node,3507543196,cafe,Cafe Windstill,POINT (16.3787909 48.1747036)
node,3507543201,driving_school,Easy Drivers,POINT (16.3792449 48.1751322)
node,3507581093,fast_food,Cigköftem,POINT (16.3783995 48.1751716)
node,3511541839,drinking_water,,POINT (16.3789863 48.1737575)
node,3511736261,parking_entrance,,POINT (16.3770554 48.1738743)
node,3511795813,restaurant,Gasthof Adlerbräu,POINT (16.3787785 48.172262)
node,3517901865,toilets,,POINT (16.3528332 48.1694287)
node,3517901875,toilets,,POINT (16.3508912 48.1704453)
node,3534473338,bicycle_parking,,POINT (16.3853749 48.1595082)
node,3534473341,bicycle_parking,,POINT (16.3844049 48.1595847)
node,3534479755,parking_entrance,,POINT (16.3858102 48.165135)
